Name,KOI
Kepler-1640 b,K06132.02
Kepler-1641 b,K06145.01
Kepler-1641 c,K06145.02
Kepler-1642 b,K06166.01
Kepler-1642 c,K06166.02
Kepler-1643 b,K06186.01
Kepler-1644 b,K06228.01
Kepler-1645 b,K06233.01
Kepler-1646 b,K06863.01
Kepler-1649 b,K03138.01
Kepler-1649 c,K03138.02
Kepler-165 b,K00475.01
Kepler-165 c,K00475.02
Kepler-1650 b,K01702.01
Kepler-1651 A b,K01725.01
Kepler-1652 b,K02626.01
Kepler-1653 b,K04550.01
Kepler-1655 b,K00280.01
Kepler-1656 b,K00367.01
Kepler-1657 b,K03680.01
Kepler-1658 b,K00004.01
Kepler-1659 b,K01599.02
Kepler-1659 c,K01599.01
Kepler-166 b,K00481.01
Kepler-166 c,K00481.03
Kepler-166 d,K00481.02
Kepler-1662 b,K01783.01
Kepler-1662 c,K01783.02
Kepler-1663 b,K00252.01
Kepler-1664 b,K00349.01
Kepler-1665 b,K00650.01
Kepler-1666 b,K00945.01
Kepler-1666 c,K00945.02
Kepler-1667 b,K01311.01
Kepler-1668 b,K01470.01
Kepler-1669 b,K01475.02
